127.0.0.1 - - [30/Sep/2024:11:35:20 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:33 +0530] "GET /TakeTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:33 +0530] "GET /TakeTest/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:33 +0530] "GET /TakeTest/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:33 +0530] "GET /TakeTest/bgOff.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:42 +0530] "GET /TakeTest/home.jsp HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:42 +0530] "GET /TakeTest/SkillEdge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:42 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/adminLogin.jsp HTTP/1.1" 200 3876
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/AdminResources/fonts/icomoon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/AdminResources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/AdminResources/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/AdminResources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/AdminResources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/AdminResources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/AdminResources/css/newStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/adminPages/AdminResources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:44 +0530] "GET /TakeTest/WE.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:54 +0530] "POST /TakeTest/AdminLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:35:54 +0530] "GET /TakeTest/AdminDashboard HTTP/1.1" 200 7100
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:36:01 +0530] "GET /TakeTest/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:11:36:01 +0530] "GET /TakeTest/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2024:12:51:58 +0530] "GET /TakeTest/home.jsp HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [30/Sep/2024:12:52:07 +0530] "GET /TakeTest/adminPages/adminLogin.jsp HTTP/1.1" 200 3876
